First Name,Last Name,Gender,Age,Email,Education,Marital Status,Income
Walter,Chapman,Male,39,WChapman@randatmail.com,Assoc-acdm,Never-married,<=50k
Walter,Dixon,Male,38,WDixon@randatmail.com,Assoc-acdm,Married-civ-spouse,<=50k
Lucas,Lloyd,Male,38,LLloyd@randatmail.com,HS-grad,Never-married,<=50k
Lilianna,Morrison,Female,40,LMorrison@randatmail.com,Some-college,Never-married,<=50k
Byron,Cunningham,Male,34,BCunningham@randatmail.com,Assoc-acdm,Never-married,>50k
Arianna,Richardson,Female,31,ARichardson@randatmail.com,Assoc-acdm,Married-civ-spouse,<=50k
Deanna,Myers,Female,38,DMyers@randatmail.com,Assoc-acdm,Never-married,<=50k
Marcus,Wright,Male,33,MWright@randatmail.com,HS-grad,Never-married,<=50k
Deanna,Parker,Female,36,DParker@randatmail.com,10th,Married-civ-spouse,>50k
Adrian,Moore,Male,36,AMoore@randatmail.com,Assoc-acdm,Never-married,>50k
Bruce,Edwards,Male,31,BEdwards@randatmail.com,7th-8th,Married-civ-spouse,<=50k
Joyce,Adams,Female,33,JAdams@randatmail.com,HS-grad,Never-married,<=50k
Samantha,Carter,Female,38,SCarter@randatmail.com,Some-college,Married-civ-spouse,<=50k
Stella,Myers,Female,38,SMyers@randatmail.com,HS-grad,Never-married,<=50k
Dexter,Ryan,Male,33,DRyan@randatmail.com,7th-8th,Married-civ-spouse,<=50k
Sarah,Ellis,Female,31,SEllis@randatmail.com,HS-grad,Married-civ-spouse,<=50k
Dominik,Reed,Male,39,DReed@randatmail.com,Assoc-acdm,Married-civ-spouse,>50k
Catherine,Thompson,Female,34,CThompson@randatmail.com,HS-grad,Never-married,<=50k
Abraham,Foster,Male,35,AFoster@randatmail.com,Assoc-acdm,Never-married,<=50k
Kevin,Thompson,Male,34,KThompson@randatmail.com,10th,Never-married,<=50k
Jasmine,Morris,Female,34,JMorris@randatmail.com,Assoc-acdm,Never-married,>50k
Vivian,Stewart,Female,40,VStewart@randatmail.com,11th,Married-civ-spouse,<=50k
Blake,Ellis,Male,34,BEllis@randatmail.com,11th,Married-civ-spouse,<=50k
Eleanor,Tucker,Female,40,ETucker@randatmail.com,HS-grad,Married-civ-spouse,<=50k
Sienna,Perry,Female,31,SPerry@randatmail.com,11th,Married-civ-spouse,<=50k
Arthur,Roberts,Male,40,ARoberts@randatmail.com,HS-grad,Never-married,<=50k
Bruce,Hunt,Male,32,BHunt@randatmail.com,HS-grad,Never-married,<=50k
Adam,Tucker,Male,37,ATucker@randatmail.com,11th,Married-civ-spouse,<=50k
April,Clark,Female,34,AClark@randatmail.com,10th,Never-married,<=50k
Amber,Edwards,Female,32,AEdwards@randatmail.com,7th-8th,Never-married,<=50k
Chester,Walker,Male,40,CWalker@randatmail.com,HS-grad,Never-married,<=50k
Chelsea,Carter,Female,38,CCarter@randatmail.com,HS-grad,Never-married,<=50k
Abigail,Robinson,Female,35,ARobinson@randatmail.com,10th,Never-married,<=50k
George,Robinson,Male,39,GRobinson@randatmail.com,Assoc-acdm,Married-civ-spouse,<=50k
Kimberly,Murray,Female,40,KMurray@randatmail.com,Assoc-acdm,Married-civ-spouse,<=50k
Alisa,Spencer,Female,31,ASpencer@randatmail.com,HS-grad,Never-married,>50k
Lyndon,Montgomery,Male,38,LMontgomery@randatmail.com,Assoc-acdm,Never-married,<=50k
Cadie,Chapman,Female,38,CChapman@randatmail.com,Assoc-acdm,Married-civ-spouse,<=50k
Anna,Johnston,Female,36,AJohnston@randatmail.com,7th-8th,Never-married,<=50k
Heather,Edwards,Female,36,HEdwards@randatmail.com,Assoc-acdm,Never-married,>50k
Lana,Johnson,Female,35,LJohnson@randatmail.com,7th-8th,Married-civ-spouse,<=50k
Elise,Richardson,Female,32,ERichardson@randatmail.com,10th,Married-civ-spouse,<=50k
Vanessa,Tucker,Female,39,VTucker@randatmail.com,7th-8th,Married-civ-spouse,<=50k
Myra,Edwards,Female,31,MEdwards@randatmail.com,11th,Married-civ-spouse,<=50k
Natalie,Murray,Female,39,NMurray@randatmail.com,10th,Never-married,<=50k
Eddy,Dixon,Male,37,EDixon@randatmail.com,7th-8th,Never-married,>50k
Roland,Morris,Male,35,RMorris@randatmail.com,10th,Married-civ-spouse,<=50k
Sophia,Parker,Female,38,SParker@randatmail.com,Some-college,Never-married,<=50k
Alfred,Alexander,Male,39,AAlexander@randatmail.com,Some-college,Married-civ-spouse,<=50k
Antony,Davis,Male,37,ADavis@randatmail.com,10th,Married-civ-spouse,<=50k
Jack,Murphy,Male,31,JMurphy@randatmail.com,HS-grad,Married-civ-spouse,<=50k
Dexter,Morrison,Male,36,DMorrison@randatmail.com,Some-college,Married-civ-spouse,<=50k
Jacob,Wright,Male,31,JWright@randatmail.com,Assoc-acdm,Married-civ-spouse,<=50k
Savana,Henderson,Female,36,SHenderson@randatmail.com,HS-grad,Married-civ-spouse,<=50k
Miller,Foster,Male,32,MFoster@randatmail.com,7th-8th,Married-civ-spouse,<=50k
Darcy,Cameron,Female,33,DCameron@randatmail.com,10th,Never-married,<=50k
Sofia,Kelly,Female,33,SKelly@randatmail.com,Assoc-acdm,Never-married,<=50k
